1,1,2048
1,2,2049
1,3,2050
1,4,2051
1,5,2052
1,6,2053
1,7,2054
1,8,2055
57,8,2055
168,8,2055
1,9,2056
1,10,2057
1,11,2058
1,12,2059
1,13,2060
181,13,2060
1,14,2061
90,14,2061
1,15,2062
44,15,2062
1,16,2063
57,16,2063
1,17,2064
1,18,2065
57,18,2065
1,19,2066
1,20,2067
57,20,2067
1,21,2068
1,22,2069
1,23,2070
57,23,2070
1,24,2071
1,25,2072
1,26,2073
1,27,2074
38,27,2074
220,27,2074
1,28,2075
1,29,2076
81,29,2076
159,29,2076
2,30,2077
144,30,2077
2,31,2078
2,32,2079
2,33,2080
2,34,2081
2,35,2082
2,36,2083
171,36,2083
2,37,2084
103,37,2084
2,38,2085
105,38,2085
150,38,2085
2,39,2086
57,39,2086
2,40,2087
2,41,2088
164,41,2088
2,42,2089
154,42,2089
2,43,2090
125,43,2090
2,44,2091
2,45,2092
191,45,2092
2,46,2093
2,47,2094
57,47,2094
2,48,2095
159,48,2095
2,49,2096
2,50,2097
2,51,2098
2,52,2099
49,52,2099
2,53,2100
44,53,2100
2,54,2101
171,54,2101
2,55,2102
2,56,2103
50,56,2103
168,56,2103
210,56,2103
2,57,2104
41,57,2104
57,57,2104
2,58,2105
38,58,2105
2,59,2106
215,59,2106
3,60,2107
41,60,2107
164,60,2107
3,61,2108
119,61,2108
153,61,2108
3,62,2109
57,62,2109
160,62,2109
3,63,2110
3,64,2111
3,65,2112
185,65,2112
3,66,2113
91,66,2113
152,66,2113
3,67,2114
147,67,2114
3,68,2115
3,69,2116
227,69,2116
3,70,2117
44,70,2117
152,70,2117
3,71,2118
3,72,2119
159,72,2119
3,73,2120
3,74,2121
39,74,2121
128,74,2121
3,75,2122
57,75,2122
3,76,2123
110,76,2123
3,77,2124
3,78,2125
3,79,2126
3,80,2127
3,81,2128
110,81,2128
128,81,2128
3,82,2129
3,83,2130
212,83,2130
3,84,2131
3,85,2132
57,85,2132
220,85,2132
3,86,2133
66,86,2133
3,87,2134
57,87,2134
71,87,2134
230,87,2134
3,88,2135
49,88,2135
3,89,2136
4,90,2137
155,90,2137
4,91,2138
35,91,2138
69,91,2138
4,92,2139
4,93,2140
51,93,2140
164,93,2140
203,93,2140
4,94,2141
4,95,2142
34,95,2142
153,95,2142
4,96,2143
162,96,2143
4,97,2144
48,97,2144
147,97,2144
4,98,2145
4,99,2146
57,99,2146
4,100,2147
135,100,2147
4,101,2148
121,101,2148
226,101,2148
4,102,2149
105,102,2149
4,103,2150
128,103,2150
4,104,2151
79,104,2151
153,104,2151
4,105,2152
42,105,2152
142,105,2152
4,106,2153
4,107,2154
90,107,2154
4,108,2155
4,109,2156
4,110,2157
102,110,2157
148,110,2157
4,111,2158
76,111,2158
4,112,2159
47,112,2159
142,112,2159
4,113,2160
68,113,2160
4,114,2161
158,114,2161
4,115,2162
139,115,2162
4,116,2163
4,117,2164
57,117,2164
117,117,2164
4,118,2165
46,118,2165
57,118,2165
160,118,2165
4,119,2166
57,119,2166
122,119,2166
5,120,2167
5,121,2168
39,121,2168
159,121,2168
5,122,2169
39,122,2169
158,122,2169
5,123,2170
62,123,2170
5,124,2171
159,124,2171
5,125,2172
63,125,2172
5,126,2173
5,127,2174
70,127,2174
5,128,2175
77,128,2175
5,129,2176
57,129,2176
5,130,2177
36,130,2177
170,130,2177
5,131,2178
37,131,2178
125,131,2178
5,132,2179
5,133,2180
92,133,2180
164,133,2180
5,134,2181
5,135,2182
46,135,2182
183,135,2182
5,136,2183
40,136,2183
129,136,2183
5,137,2184
49,137,2184
5,138,2185
5,139,2186
5,140,2187
130,140,2187
5,141,2188
90,141,2188
194,141,2188
5,142,2189
48,142,2189
154,142,2189
218,142,2189
5,143,2190
47,143,2190
5,144,2191
62,144,2191
5,145,2192
5,146,2193
105,146,2193
193,146,2193
5,147,2194
5,148,2195
90,148,2195
166,148,2195
5,149,2196
6,150,2197
57,150,2197
6,151,2198
38,151,2198
6,152,2199
6,153,2200
92,153,2200
165,153,2200
6,154,2201
6,155,2202
122,155,2202
6,156,2203
157,156,2203
6,157,2204
64,157,2204
6,158,2205
61,158,2205
6,159,2206
96,159,2206
6,160,2207
123,160,2207
6,161,2208
160,161,2208
6,162,2209
62,162,2209
126,162,2209
6,163,2210
41,163,2210
6,164,2211
175,164,2211
217,164,2211
6,165,2212
168,165,2212
219,165,2212
6,166,2213
6,167,2214
6,168,2215
37,168,2215
6,169,2216
175,169,2216
6,170,2217
233,170,2217
6,171,2218
123,171,2218
127,171,2218
6,172,2219
68,172,2219
6,173,2220
